status,palenie.staz,palenie.rzucenie,palenie.uzaleznienie,"palenie.dzieci
poniżej 15 roku życia",palenie.stres,palenie.przyjemnosc,wiedza,wzorce,plec,wiek,staz,miejsce.pracy,test
W dalszym ciągu palę,1-10 lat,"Tak, ale wróciłem/am do nałogu",Tak,Nie,Nie,Nie,Dobrze,Nie,M,25 lat i mniej,0-4,Przychodnia,19
W dalszym ciągu palę,1-10 lat,Nie,Tak,Nie wiem/nie mam zdania,Tak,Tak,Bardzo dobrze,Tak,K,25 lat i mniej,0-4,Szpital,12
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,M,46-50,15 i więcej,Szpital,19
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,M,31-35,5-9,Szpital,18
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,M,25 lat i mniej,5-9,Szpital,12
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Nie wiem/nie mam zdania,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,M,26-30,5-9,Szpital,8
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Nie wiem/nie mam zdania,Nie dotyczy,Nie,Dobrze,Nie,K,25 lat i mniej,0-4,Szpital,14
Paliłem/łam,1-10 lat,"Tak, udało się",Tak,Tak,Tak,Tak,Dobrze,Tak,M,25 lat i mniej,0-4,Szpital,14
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Bardzo dobrze,Nie dotyczy,M,25 lat i mniej,0-4,Szpital,21
W dalszym ciągu palę,Więcej niż 15 l,"Tak, ale wróciłem/am do nałogu",Tak,Nie,Tak,Tak,Dobrze,Tak,M,36-40,15 i więcej,Przychodnia,19
Paliłem/łam,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie,Dobrze,Nie,K,25 lat i mniej,0-4,Przychodnia,14
